athlete_number,athlete_relative_age,athlete_gender_marker,athlete_sport,club_division,active_minutes,contributing_seconds,total_distance_m,total_high_intensity_distance_m,total_sprint_distance_m,high_intensity_events,sprint_events,avg_speed_kph,max_speed_kph,acceleration_events,deceleration_events,max_acceleration,max_deceleration,metres_per_minute,percentage_max_speed_kph,session_load
"1,081",18,Female,association_football,DI,90,"5,400","3,913.49",19.9,0,3,0,2.61,20.29,21,30,4.94,5.3,43.48,49.6,499.2
"1,081",18,Female,association_football,DI,120,"7,200","6,336.99",58.89,0,5,0,3.17,23.58,81,59,6.94,7.69,52.81,57.66,"1,057.62"
"1,081",18,Female,association_football,DI,120,"7,200","5,595.75",140.3,37.91,19,5,2.8,24.73,49,30,5.93,7.88,46.63,60.46,906.8
"1,081",18,Female,association_football,DI,90,"5,400","2,474",0,0,0,0,1.65,18.5,14,4,5.43,4.33,27.49,45.24,267.02
"1,081",18,Female,association_football,DI,120,"7,200","5,193.56",25.21,8.35,5,1,2.6,23.06,42,32,5.76,5.29,43.28,56.38,586.4
"1,081",18,Female,association_football,DI,120,"7,200","2,505.97",8.96,0,1,0,1.25,21.12,9,5,4.69,4.6,20.88,51.65,218.96
"1,081",18,Female,association_football,DI,120,"7,200",368.66,0,0,0,0,0.18,7.24,0,0,0,0,3.07,17.01,24.94
"1,081",18,Female,association_football,DI,90,"5,400","6,250.11",271.73,111.55,31,7,4.17,26.71,43,51,5.01,7.4,69.45,62.81,882.39
"1,081",18,Female,association_football,DI,90,"5,400","3,471.50",16.34,5.64,4,1,2.31,24.62,32,23,5.27,5.5,38.57,57.9,673.91
"1,081",18,Female,association_football,DI,90,"5,400","8,117.72",346.4,182.48,34,12,5.41,27.39,47,56,6.17,6.72,90.2,64.39,"1,043.57"
"1,081",18,Female,association_football,DI,90,"5,400","1,644.08",0,0,0,0,1.1,12.65,4,4,3.96,4.65,18.27,29.75,178.26
"1,081",18,Female,association_football,DI,90,"5,400","5,759.74",146.03,71.08,16,5,3.84,26.97,33,38,5.42,5.51,64,63.42,718.86
"1,081",18,Female,association_football,DI,120,"7,200","3,263.87",22.5,0,4,0,1.63,22.4,36,26,7.04,5.05,27.2,52.67,457.96
"1,081",18,Female,association_football,DI,90,"5,400","7,355.47",158.09,130.35,23,8,4.9,28.05,39,37,4.54,5.37,81.73,65.95,896.27
"1,081",18,Female,association_football,DI,120,"7,200","2,033.39",5.06,0,1,0,1.02,19.83,12,9,4.48,5.66,16.94,48.47,181.9
"1,081",18,Female,association_football,DI,120,"7,200","6,834.16",105.38,25.74,12,3,3.42,24.26,34,22,4.56,5.78,56.95,59.31,743.23
"1,081",18,Female,association_football,DI,120,"7,200","5,265.87",158.22,"1,286.42",14,42,2.63,42.53,35,22,4.58,5.31,43.88,103.99,561.69
"1,081",18,Female,association_football,DI,120,"7,200","6,159.86",48.74,0,6,0,3.08,21.38,57,29,6.75,7.13,51.33,52.27,"1,103.83"
"1,081",18,Female,association_football,DI,120,"7,200",476.8,0,0,0,0,0.24,10.53,0,1,0,4.98,3.97,25.75,30.91
"1,081",18,Female,association_football,DI,90,"5,400","7,385.87",199.55,51.69,26,4,4.92,25.7,43,50,5.49,7.7,82.07,62.84,"1,002.14"
"1,356",22,Male,association_football,DI,78,"4,680","5,950.68",129.88,0,17,0,4.58,25.07,96,69,5.94,6.48,76.29,82.26,955.13
"1,356",22,Male,association_football,DI,17,"1,020","1,940.99",111.01,16.14,15,2,6.85,26.47,24,18,5.81,7.81,114.18,83.18,494.57
"1,356",22,Male,association_football,DI,79,"4,740","5,754.21",287.94,15.67,19,2,4.37,27.17,88,64,6.02,6.36,72.84,85.38,"1,014.16"
"1,356",22,Male,association_football,DI,53,"3,180","4,698.91",81.01,0,10,0,5.32,23.57,50,31,5.21,6.72,88.66,74.08,793.06
"1,356",22,Male,association_football,DI,35,"2,100","3,822.90",199.2,45.65,19,5,6.55,29.42,32,32,6.34,6.58,109.23,92.47,713.91
"1,356",22,Male,association_football,DI,85,"5,100","5,172.95",151.47,55.49,16,5,3.65,27.82,52,35,5.72,7.4,60.86,87.42,857.42
"1,356",22,Male,association_football,DI,4,240,497.17,18.96,27.34,4,2,7.46,27.03,4,7,4.66,4.61,124.29,84.94,116.98
"1,356",22,Male,association_football,DI,90,"5,400","4,218.06",4,0,1,0,2.81,20.86,13,10,5.15,6.31,46.87,65.56,265.59
"1,356",22,Male,association_football,DI,15,900,"1,485.28",78.09,11.45,8,1,5.94,25.79,19,19,5.42,6.58,99.02,81.05,289.75
"1,356",22,Male,association_football,DI,66,"3,960","4,794.78",140.02,205.3,20,7,4.36,30.72,63,33,6.42,7.49,72.65,96.54,905.55
"1,356",22,Male,association_football,DI,74,"4,440","5,789.63",291.9,85.79,26,9,4.69,27.39,69,54,6.41,6.78,78.24,86.06,"1,030.97"
"1,356",22,Male,association_football,DI,95,"5,700","5,112.12",135.03,42.99,14,2,3.23,30.06,46,40,5.01,6.36,53.81,94.47,863.71
"1,356",22,Male,association_football,DI,155,"9,300","6,826.13",65.69,9.81,8,1,2.64,31.82,76,53,7.56,7.89,44.04,104.39,946.81
"1,356",22,Male,association_football,DI,85,"5,100","5,594.44",150.21,37.57,14,2,3.95,30.24,65,47,6.18,6.32,65.82,99.21,909.15
"1,356",22,Male,association_football,DI,74,"4,440","6,040.37",98.42,6.51,14,1,4.9,25.55,81,53,5.96,8.22,81.63,80.28,"1,061.36"
"1,356",22,Male,association_football,DI,80,"4,800","3,702.76",49.49,10.08,7,1,2.78,26.07,38,25,5.11,5.98,46.28,81.94,558.92
"1,356",22,Male,association_football,DI,15,900,"1,854.85",168.12,77.57,16,8,7.42,28.87,15,18,6.27,7.3,123.66,94.72,389.42
"1,356",22,Male,association_football,DI,32,"1,920","3,605.98",198.57,30.49,20,2,6.76,26.18,26,36,5.1,6.28,112.69,85.9,778.38
"1,356",22,Male,association_football,DI,66,"3,960","3,192.03",0,0,0,0,2.9,18.77,28,18,5.52,5.51,48.36,61.57,463.13
"1,356",22,Male,association_football,DI,75,"4,500","4,947.56",121.51,14.6,11,1,3.96,26.95,52,54,5.48,6.46,65.97,88.41,840.12
"1,356",22,Male,association_football,DI,84,"5,040","3,915",0,0,0,0,2.8,17.97,43,22,7.12,6.58,46.61,58.96,576.18
"1,356",22,Male,association_football,DI,71,"4,260","4,095.56",114.75,30.42,14,1,3.46,30.48,41,32,5.53,7.48,57.68,101.78,624.77
"1,356",22,Male,association_football,DI,54,"3,240","5,419.33",159.05,14.07,14,1,6.02,27.75,57,49,6.23,6.66,100.36,91.05,"1,003.03"
"1,356",22,Male,association_football,DI,100,"6,000",456.54,0,0,0,0,0.27,7.33,2,0,5.78,0,4.57,24.46,4
"1,356",22,Male,association_football,DI,111,"6,660","3,887.47",203.28,65.03,19,4,2.1,29.95,49,36,6.07,5.83,35.02,120.2,658.36
"1,356",22,Male,association_football,DI,90,"5,400","4,554.56",380.01,0,14,0,3.04,24.92,44,20,5.86,5.69,50.61,0,857.12
"1,356",22,Male,association_football,DI,101,"6,060","3,774.61",62.61,50.53,5,3,2.24,28.02,24,20,4.82,6.48,37.37,93.56,738.81
"1,356",22,Male,association_football,DI,120,"7,200","5,828.20",71.1,34.13,7,2,2.91,28.59,41,24,5.41,6.04,48.57,89.84,638.34
"1,356",22,Male,association_football,DI,43,"2,580","5,036.30",243.18,23.12,25,2,7.03,26.81,53,45,6.12,7.52,117.12,87.94,"1,178.61"
"1,356",22,Male,association_football,DI,65,"3,900","5,871.48",824.48,138.44,29,11,5.42,27.93,85,37,6.45,5.95,90.33,87.76,"1,125.23"
"2,113",18,Male,association_football,DI,120,"7,200","7,498.20",326.35,124.87,36,14,3.75,29.16,62,49,6.18,6.16,62.48,111.27,870.2
"2,113",18,Male,association_football,DI,120,"7,200","4,465.44",85.38,0,4,0,2.23,24.37,50,13,5.03,5.98,37.21,83.57,483.61
"2,113",18,Male,association_football,DI,195,"11,700","6,405.34",115.66,11.57,9,1,1.97,27.16,49,31,6.01,9.65,32.85,93.13,704.3
"2,113",18,Male,association_football,DI,120,"7,200","6,902.87",199.73,70.8,23,6,3.45,27.31,43,21,6.24,5.65,57.52,93.65,783.75
"2,113",18,Male,association_football,DI,120,"7,200","6,859.75",189.18,0,18,0,3.43,24.33,81,48,5.65,6.6,57.16,83.44,830.82
"2,113",18,Male,association_football,DI,120,"7,200","5,514.84",62.27,0,7,0,2.76,25.02,64,36,5.69,5.09,45.96,85.79,540.67
"2,113",18,Male,association_football,DI,120,"7,200","5,000.13",17.04,0,3,0,2.5,22.6,65,31,5.42,5.41,41.67,77.49,519.56
